CO_NCM;NO_NCM_POR;CO_EXP_SUBSET;NO_EXP_SUBSET_POR;NO_EXP_SUBSET_ESP;NO_EXP_SUBSET_ING;CO_EXP_SET;NO_EXP_SET;NO_EXP_SET_ESP;NO_EXP_SET_ING
29339062;Triadimefon;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339063;Triazofos (fósforotioato de o, o-dietila-o-(1-fenil-etc.;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339069;Outros compostos heterocíclicos contendo 1 ciclo de triazol não condensado;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339071;Delorazepam (7-cloro-5-(2-clorofenil)-1, 3-diidro-2h-etc;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339072;Estazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339073;Fludiazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339074;Flunitrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339075;Flurazepam e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339076;Halazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339077;Loflazepato de etila;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339078;Lorazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339079;Lormetazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339081;Medazepam e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339082;Nimetazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339083;Nitrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339084;Nordazepam (n-desmetildiazepam);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339085;Pinazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339086;Prazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339087;Temazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339088;Tetrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339089;Outros compostos heterocíclicos com 1 ciclo diazepina, seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339091;Azinfos etílico;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339092;Ácido nalidíxico;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339093;Clofazimina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339094;Metenamina (hexametilenotetramina) e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339095;Metilsulfato de amezinio;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339096;Hidrazida maleica e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339099;Outros compostos heterocíclicos de heteroátomos de nitrogênio;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339111;Alprazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339112;Camazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339113;Clonazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339114;Clorazepato;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339115;Clorodiazepóxido;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339119;Sais de alprazolam, camazepam, clonazepam, etc.;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339121;Delorazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339122;Diazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339123;Estazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339129;Sais de delorazepam, diazepam ou estazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339131;Fludiazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339132;Flunitrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339133;Flurazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339134;Halazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339139;Sais de fludiazepam, flunitrazepam, etc.;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339141;Loflazepato de etila;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339142;Lorazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339143;Lormetazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339149;Sais de loflazepato de etila, lorazepam, etc.;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339151;Mazindol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339152;Medazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339153;Midazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339159;Sais de mazindol, medazepam ou midazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339161;Nimetazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339162;Nitrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339163;Nordazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339164;Oxazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339169;Sais de nimetazepam, nitrazepam, nordazepam, oxazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339171;Pinazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339172;Pirovalerona;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339173;Prazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339179;Sais de pinazepam, pirovalerona ou prazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339181;Temazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339182;Tetrazepam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339183;Triazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339189;Sais de temazepam, tetrazepam ou triazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339200;Azinfós metil (ISO);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339911;Pirazinamida;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339912;Cloridrato de amilorida;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339913;Pindolol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339919;Outros compostos heterocíclicos contendo ciclo pirazina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339920;Outros compostos heterocíclicos contendo ciclo diazepina (hidrogenado);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339931;Dibenzoazepina (iminoestilbeno);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339932;Carbamazepina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339933;Cloridrato de clomipramina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339934;Molinate (hexaidroazepin-1-carbotioato de s-e;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339935;Hexametilenoimina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339939;Outros compostos heterocíclicos contendo ciclo azepina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339941;"Clemastina e seus derivados; sais destes produtos";1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339942;Amisulprida;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339943;Sultoprida;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339944;Alizaprida;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339945;"Buflomedil e seus derivados; sais destes produtos";1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339946;Maleato de enalapril;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339947;Ketorolac trometamina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339949;Outros compostos heterocíclicos contendo ciclo pirrol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339951;Benomil;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339952;Oxifendazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339953;Albendazol e seu sulfóxido;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339954;Mebendazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339955;Flubendazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339956;Fembendazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339959;Outros compostos heterocíclicos contendo ciclo imidazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339961;Triadimenol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339962;Triadimefon;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339963;Triazofos (fósforotioato de o, o-dietila o-(1;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339969;Outros compostos heterocíclicos contendo ciclo triazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339991;Azinfos etílico;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339992;Ácido nalidíxico;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339993;Clofazimina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339995;Metilssulfato de amezínio;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339996;Hidrazida maleica e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29339999;Outros compostos heterocíclicos com heteroátomo de nitrogênio;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29341010;Fentiazac;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29341020;Cloridrato de tiazolidina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29341030;Tiabendazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29341090;Outros compostos heterocíclicos com um ciclo tiazol não condensado;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342010;2-Mercaptobenzotiazol e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342020;2,2'-Ditio-bis(benzotiazol) (dissulfeto de benzotiazila);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342031;2-(Terbutilaminotio)benzotiazol (N-terbutil-benzotiazol-sulfenamida);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342032;2-(Cicloexilaminotio)benzotiazol (N-cicloexil-benzotiazol-sulfenamida);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342033;2-(Dicicloexilaminotio)benzotiazol (N,N-dicicloexil-benzotiazol-sulfenamida);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342034;2-(4-Morfoliniltio)benzotiazol (N-oxidietileno-benzotiazol-sulfenamida);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342039;Outros benzotiazois-sulfenamidas;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342040;2-(Tiocianometiltio)benzotiazol (TCMTB);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29342090;Outros compostos heterocíclicos com ciclos de benzotiazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29343010;Maleato de metotrimeprazina (maleato de levomepromazina);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29343020;Enantato de flufenazina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29343030;Prometazina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29343090;Outros compostos heterocíclicos com estrutura de ciclo fenotiazina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349011;Morfolina e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349012;Pirenoxina sódica (catalino sódico);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349013;Nimorazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349014;Anidrido isatóico (2h-3, 1-benzoxazina-2, 4-(1h)-diona);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349015;4, 4'-ditiodimorfolina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349016;Ketazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349017;Dextromoramida (d-moramida) e seus sais;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349018;"Fendimetrazina (""phendimetrazine"") e seus sais";1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349019;Outros compostos heterocíclicos com 1 ciclo oxazina, etc.;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349021;Cloxazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349022;Zidovudina (azt);1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349023;Timidina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349024;Furazolidona;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349025;Citarabina;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349026;Oxadiazona;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349027;Haloxazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349028;Oxazolam;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349029;Outros compostos heterocíclicos com três heteroátomos nitrogênio e oxigênio;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
29349031;Cetoconazol;1402;Produtos químicos orgânicos;Productos químicos orgánicos;Organic chemicals;14;PRODUTOS DAS INDUSTRIAS QUIMICAS;Productos químicos;Products of the chemical industry
